isbn13	titulo	link_detalle	link_imagen	materia	autor	editorial	fecha_pub	id_coleccion	autor_principal	link_indice	link_resenya	precio	tipo_iva	paginas
9788498762495	Doctrina del Tribunal Europeo de los Derechos Humanos	http://www.tirant.com/detalle?articulo=9788498762495	http://www.tirant.com/portadas/9788498762495.jpg	0100000000|0111000000|0111040000|	|Jacobo López Barja de Quiroga |León García-Comendador Alonso	Tirant lo Blanch	09/2008	2503	Jacobo López Barja de Quiroga	http://www.tirant.com/indexes/9788498762495.txt	http://www.tirant.com/resenyas/9788498762495-resenya.txt	51.00	3	1036
9788498765991	El estado de derecho frente a la tortura	http://www.tirant.com/detalle?articulo=9788498765991	http://www.tirant.com/portadas/9788498765991.jpg	0100000000|0111000000|0111040000|0100000000|0117000000|0117010000|	|Faustino Gudín Rodríguez-Magariños	Tirant lo Blanch	09/2009	39	Faustino Gudín Rodríguez-Magariños	http://www.tirant.com/indexes/9788498765991.txt	http://www.tirant.com/resenyas/9788498765991-resenya.txt	13.00	3	259
E000020004194	Teoría y Derecho Revista de Pensamiento Jurídico Nº10/2011 La Constitución de 1812: Miradas y perspectivas	http://www.tirant.com/detalle?articulo=E000020004194	http://www.tirant.com/portadas/E000020004194.jpg	0100000000|0114000000|0100000000|0117000000|0117010000|	|Tomás Salvador Vives Antón	Tirant lo Blanch	01/2012	2676	Tomás Salvador Vives Antón	http://www.tirant.com/indexes/E000020004194.txt	http://www.tirant.com/resenyas/E000020004194-resenya.txt	33.00	3	356
9788498765984	Terrorismo : Algunas cuestiones pendientes Última lección académica del Profesor Emérito Doctor Don FRANCISCO BUENO ARÚS	http://www.tirant.com/detalle?articulo=9788498765984	http://www.tirant.com/portadas/9788498765984.jpg	0100000000|0103000000|0103050000|0103050100|0100000000|0117000000|0117010000|	|Francisco Bueno Arús	Tirant lo Blanch	09/2009	39	Francisco Bueno Arús	http://www.tirant.com/indexes/9788498765984.txt	http://www.tirant.com/resenyas/9788498765984-resenya.txt	10.00	3	174
9788498765700	Demografía Lecciones en torno al matrimonio y a la familia	http://www.tirant.com/detalle?articulo=9788498765700	http://www.tirant.com/portadas/9788498765700.jpg	0200000000|0205000000|0205020000|	|Dolores López Hernández |Carolina Montoro	Tirant lo Blanch	09/2009	2654	Dolores López Hernández	http://www.tirant.com/indexes/9788498765700.txt	http://www.tirant.com/resenyas/9788498765700-resenya.txt	18.00	3	318
9788498768138	La eficacia territorial y temporal de las normas	http://www.tirant.com/detalle?articulo=9788498768138	http://www.tirant.com/portadas/9788498768138.jpg	0100000000|0102000000|0102010000|0102010100|0100000000|0111000000|0111030000|0100000000|0117000000|0117010000|	|Marcos Vaquer Caballería	Tirant lo Blanch	05/2010	47	Marcos Vaquer Caballería	http://www.tirant.com/indexes/9788498768138.txt	http://www.tirant.com/resenyas/9788498768138-resenya.txt	10.50	3	109
9788498768268	El derecho moral del autor de programas informáticos	http://www.tirant.com/detalle?articulo=9788498768268	http://www.tirant.com/portadas/9788498768268.jpg	0100000000|0101000000|0101080000|0101080700|0100000000|0117000000|0117010000|	|Ivonne Preinfalk Lavagni	Tirant lo Blanch	05/2010	39	Ivonne Preinfalk Lavagni	http://www.tirant.com/indexes/9788498768268.txt	http://www.tirant.com/resenyas/9788498768268-resenya.txt	15.50	3	341
9788498768923	Contestaciones al Programa de Derecho Procesal Penal para acceso a las carreras Judicial y Fiscal	http://www.tirant.com/detalle?articulo=9788498768923	http://www.tirant.com/portadas/9788498768923.jpg	0100000000|0113000000|0113010000|	|Juan Montero Aroca |José Flors Matíes |Gonzalo López Ebri |Javier Roda Alcayde	Tirant lo Blanch	09/2010	52	Juan Montero Aroca	http://www.tirant.com/indexes/9788498768923.txt	http://www.tirant.com/resenyas/9788498768923-resenya.txt	51.00	3	709
9788498767636	Nacionalidad , nacionalismo y autonomía en Canarias	http://www.tirant.com/detalle?articulo=9788498767636	http://www.tirant.com/portadas/9788498767636.jpg	0100000000|0107000000|0107030000|0100000000|0117000000|0117010000|	|Pedro Carballo Armas	Tirant lo Blanch	03/2010	39	Pedro Carballo Armas	http://www.tirant.com/indexes/9788498767636.txt	http://www.tirant.com/resenyas/9788498767636-resenya.txt	11.00	3	173
9788498767841	Negocios anómalos y figuras afines en el derecho tributario	http://www.tirant.com/detalle?articulo=9788498767841	http://www.tirant.com/portadas/9788498767841.jpg	0100000000|0106000000|0106100000|0100000000|0117000000|0117010000|	|Luis Rodríguez-Ramos Ladaria	Tirant lo Blanch	03/2010	43	Luis Rodríguez-Ramos Ladaria	http://www.tirant.com/indexes/9788498767841.txt	http://www.tirant.com/resenyas/9788498767841-resenya.txt	10.00	3	134
9788498762808	Pandillas y maras	http://www.tirant.com/detalle?articulo=9788498762808	http://www.tirant.com/portadas/9788498762808.jpg	0100000000|0112000000|0112020000|0100000000|0117000000|0117010000|	|Eduard Vinyamata Camp	Tirant lo Blanch	09/2008	51	Eduard Vinyamata Camp	http://www.tirant.com/indexes/9788498762808.txt	http://www.tirant.com/resenyas/9788498762808-resenya.txt	11.00	3	59
