Inicio programa de registro
[ 051612 ] procesando parte.051612.10294
[ 051612 ] procesando parte.051612.10295
[ 051612 ] procesando parte.051612.10296
[ 051612 ] procesando parte.051612.10297
[ 051612 ] procesando parte.051612.10298
[ 051612 ] procesando parte.051612.10299
[ 051612 ] procesando parte.051612.103
[ 051612 ] procesando parte.051612.1030
[ 051612 ] procesando parte.051612.10300
[ 051612 ] procesando parte.051612.10301
[ 051612 ] procesando parte.051612.10302
[ 051612 ] procesando parte.051612.10303
[ 051612 ] procesando parte.051612.10304
[ 051612 ] procesando parte.051612.10305
[ 051612 ] procesando parte.051612.10306
[ 051612 ] procesando parte.051612.10307
[ 051612 ] procesando parte.051612.10308
[ 051612 ] procesando parte.051612.10309
[ 051612 ] procesando parte.051612.1031
[ 051612 ] procesando parte.051612.10310
[ 051612 ] procesando parte.051612.10311
[ 051612 ] procesando parte.051612.10312
[ 051612 ] procesando parte.051612.10313
[ 051612 ] procesando parte.051612.10314
[ 051612 ] procesando parte.051612.10315
[ 051612 ] procesando parte.051612.10316
[ 051612 ] procesando parte.051612.10317
[ 051612 ] procesando parte.051612.10318
[ 051612 ] procesando parte.051612.10319
[ 051612 ] procesando parte.051612.1032
[ 051612 ] procesando parte.051612.10320
[ 051612 ] procesando parte.051612.10321
[ 051612 ] procesando parte.051612.10322
[ 051612 ] procesando parte.051612.10323
[ 051612 ] procesando parte.051612.10324
[ 051612 ] procesando parte.051612.10325
[ 051612 ] procesando parte.051612.10326
[ 051612 ] procesando parte.051612.10327
[ 051612 ] procesando parte.051612.10328
[ 051612 ] procesando parte.051612.10329
[ 051612 ] procesando parte.051612.1033
[ 051612 ] procesando parte.051612.10330
[ 051612 ] procesando parte.051612.10331
[ 051612 ] procesando parte.051612.10332
[ 051612 ] procesando parte.051612.10333
[ 051612 ] procesando parte.051612.10334
[ 051612 ] procesando parte.051612.10335
[ 051612 ] procesando parte.051612.10336
[ 051612 ] procesando parte.051612.10337
[ 051612 ] procesando parte.051612.10338
[ 051612 ] procesando parte.051612.10339
[ 051612 ] procesando parte.051612.1034
[ 051612 ] procesando parte.051612.10340
[ 051612 ] procesando parte.051612.10341
[ 051612 ] procesando parte.051612.10342
[ 051612 ] procesando parte.051612.10343
[ 051612 ] procesando parte.051612.10344
[ 051612 ] procesando parte.051612.10345
[ 051612 ] procesando parte.051612.10346
[ 051612 ] procesando parte.051612.10347
[ 051612 ] procesando parte.051612.10348
[ 051612 ] procesando parte.051612.10349
[ 051612 ] procesando parte.051612.1035
[ 051612 ] procesando parte.051612.10350
[ 051612 ] procesando parte.051612.10351
[ 051612 ] procesando parte.051612.10352
Inicio programa de registro
[ 051612 ] procesando parte.051612.10352
[ 051612 ] procesando parte.051612.10353
[ 051612 ] procesando parte.051612.10354
[ 051612 ] procesando parte.051612.10355
[ 051612 ] procesando parte.051612.10356
[ 051612 ] procesando parte.051612.10357
[ 051612 ] procesando parte.051612.10358
[ 051612 ] procesando parte.051612.10359
[ 051612 ] procesando parte.051612.1036
[ 051612 ] procesando parte.051612.10360
[ 051612 ] procesando parte.051612.10361
[ 051612 ] procesando parte.051612.10362
[ 051612 ] procesando parte.051612.10363
[ 051612 ] procesando parte.051612.10364
[ 051612 ] procesando parte.051612.10365
[ 051612 ] procesando parte.051612.10366
[ 051612 ] procesando parte.051612.10367
[ 051612 ] procesando parte.051612.10368
[ 051612 ] procesando parte.051612.10369
[ 051612 ] procesando parte.051612.1037
[ 051612 ] procesando parte.051612.10370
[ 051612 ] procesando parte.051612.10371
[ 051612 ] procesando parte.051612.10372
[ 051612 ] procesando parte.051612.10373
[ 051612 ] procesando parte.051612.10374
[ 051612 ] procesando parte.051612.10375
[ 051612 ] procesando parte.051612.10376
[ 051612 ] procesando parte.051612.10377
[ 051612 ] procesando parte.051612.10378
[ 051612 ] procesando parte.051612.10379
[ 051612 ] procesando parte.051612.1038
[ 051612 ] procesando parte.051612.10380
[ 051612 ] procesando parte.051612.10381
[ 051612 ] procesando parte.051612.10382
[ 051612 ] procesando parte.051612.10383
[ 051612 ] procesando parte.051612.10384
[ 051612 ] procesando parte.051612.10385
[ 051612 ] procesando parte.051612.10386
[ 051612 ] procesando parte.051612.10387
[ 051612 ] procesando parte.051612.10388
[ 051612 ] procesando parte.051612.10389
[ 051612 ] procesando parte.051612.1039
[ 051612 ] procesando parte.051612.10390
[ 051612 ] procesando parte.051612.10391
[ 051612 ] procesando parte.051612.10392
[ 051612 ] procesando parte.051612.10393
[ 051612 ] procesando parte.051612.10394
[ 051612 ] procesando parte.051612.10395
[ 051612 ] procesando parte.051612.10396
[ 051612 ] procesando parte.051612.10397
[ 051612 ] procesando parte.051612.10398
[ 051612 ] procesando parte.051612.10399
[ 051612 ] procesando parte.051612.104
[ 051612 ] procesando parte.051612.1040
[ 051612 ] procesando parte.051612.10400
[ 051612 ] procesando parte.051612.10401
[ 051612 ] procesando parte.051612.10402
[ 051612 ] procesando parte.051612.10403
[ 051612 ] procesando parte.051612.10404
[ 051612 ] procesando parte.051612.10405
[ 051612 ] procesando parte.051612.10406
[ 051612 ] procesando parte.051612.10407
[ 051612 ] procesando parte.051612.10408
[ 051612 ] procesando parte.051612.10409
[ 051612 ] procesando parte.051612.1041
[ 051612 ] procesando parte.051612.10410
[ 051612 ] procesando parte.051612.10411
[ 051612 ] procesando parte.051612.10412
[ 051612 ] procesando parte.051612.10413
[ 051612 ] procesando parte.051612.10414
[ 051612 ] procesando parte.051612.10415
[ 051612 ] procesando parte.051612.10416
[ 051612 ] procesando parte.051612.10417
[ 051612 ] procesando parte.051612.10418
[ 051612 ] procesando parte.051612.10419
[ 051612 ] procesando parte.051612.1042
[ 051612 ] procesando parte.051612.10420
[ 051612 ] procesando parte.051612.10421
[ 051612 ] procesando parte.051612.10422
[ 051612 ] procesando parte.051612.10423
[ 051612 ] procesando parte.051612.10424
[ 051612 ] procesando parte.051612.10425
[ 051612 ] procesando parte.051612.10426
[ 051612 ] procesando parte.051612.10427
[ 051612 ] procesando parte.051612.10428
[ 051612 ] procesando parte.051612.10429
[ 051612 ] procesando parte.051612.1043
[ 051612 ] procesando parte.051612.10430
[ 051612 ] procesando parte.051612.10431
[ 051612 ] procesando parte.051612.10432
[ 051612 ] procesando parte.051612.10433
[ 051612 ] procesando parte.051612.10434
[ 051612 ] procesando parte.051612.10435
[ 051612 ] procesando parte.051612.10436
Inicio programa de registro
[ 051612 ] procesando parte.051612.10436
[ 051612 ] procesando parte.051612.10437
[ 051612 ] procesando parte.051612.10438
[ 051612 ] procesando parte.051612.10439
[ 051612 ] procesando parte.051612.1044
[ 051612 ] procesando parte.051612.10440
[ 051612 ] procesando parte.051612.10441
[ 051612 ] procesando parte.051612.10442
[ 051612 ] procesando parte.051612.10443
[ 051612 ] procesando parte.051612.10444
[ 051612 ] procesando parte.051612.10445
[ 051612 ] procesando parte.051612.10446
[ 051612 ] procesando parte.051612.10447
Inicio programa de registro
[ 051612 ] procesando parte.051612.10447
[ 051612 ] procesando parte.051612.10448
[ 051612 ] procesando parte.051612.10449
[ 051612 ] procesando parte.051612.1045
